tablename,indexname,indexdef
runsheets,idx_runsheets_company,CREATE INDEX idx_runsheets_company ON public.runsheets USING btree (company_id)
runsheets,runsheets_company_id_runsheet_code_key,"CREATE UNIQUE INDEX runsheets_company_id_runsheet_code_key ON public.runsheets USING btree (company_id, runsheet_code)"
runsheets,runsheets_pkey,CREATE UNIQUE INDEX runsheets_pkey ON public.runsheets USING btree (id)
service_complaints,service_complaints_company_id_complaint_code_key,"CREATE UNIQUE INDEX service_complaints_company_id_complaint_code_key ON public.service_complaints USING btree (company_id, complaint_code)"
service_complaints,service_complaints_pkey,CREATE UNIQUE INDEX service_complaints_pkey ON public.service_complaints USING btree (id)
stock_branches,idx_stock_branches_branch,CREATE INDEX idx_stock_branches_branch ON public.stock_branches USING btree (branch_id)
stock_branches,idx_stock_branches_item,CREATE INDEX idx_stock_branches_item ON public.stock_branches USING btree (item_id)
stock_branches,stock_branches_branch_id_item_id_key,"CREATE UNIQUE INDEX stock_branches_branch_id_item_id_key ON public.stock_branches USING btree (branch_id, item_id)"
stock_branches,stock_branches_pkey,CREATE UNIQUE INDEX stock_branches_pkey ON public.stock_branches USING btree (id)
stock_discrepancies,stock_discrepancies_pkey,CREATE UNIQUE INDEX stock_discrepancies_pkey ON public.stock_discrepancies USING btree (id)
stock_voucher_details,stock_voucher_details_pkey,CREATE UNIQUE INDEX stock_voucher_details_pkey ON public.stock_voucher_details USING btree (id)
stock_vouchers,stock_vouchers_company_id_voucher_code_key,"CREATE UNIQUE INDEX stock_vouchers_company_id_voucher_code_key ON public.stock_vouchers USING btree (company_id, voucher_code)"
stock_vouchers,stock_vouchers_pkey,CREATE UNIQUE INDEX stock_vouchers_pkey ON public.stock_vouchers USING btree (id)
supplier_ledger,supplier_ledger_pkey,CREATE UNIQUE INDEX supplier_ledger_pkey ON public.supplier_ledger USING btree (id)
suppliers,suppliers_pkey,CREATE UNIQUE INDEX suppliers_pkey ON public.suppliers USING btree (id)
suppliers,suppliers_company_id_supplier_code_key,"CREATE UNIQUE INDEX suppliers_company_id_supplier_code_key ON public.suppliers USING btree (company_id, supplier_code)"
treasury,treasury_pkey,CREATE UNIQUE INDEX treasury_pkey ON public.treasury USING btree (id)
treasury,treasury_company_id_account_code_key,"CREATE UNIQUE INDEX treasury_company_id_account_code_key ON public.treasury USING btree (company_id, account_code)"
treasury,idx_treasury_company,CREATE INDEX idx_treasury_company ON public.treasury USING btree (company_id)
users,idx_users_email,CREATE INDEX idx_users_email ON public.users USING btree (email)
users,users_auth_id_key,CREATE UNIQUE INDEX users_auth_id_key ON public.users USING btree (auth_id)
users,idx_users_company,CREATE INDEX idx_users_company ON public.users USING btree (company_id)
users,users_email_key,CREATE UNIQUE INDEX users_email_key ON public.users USING btree (email)
users,users_pkey,CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)
vehicle_tracking,vehicle_tracking_pkey,CREATE UNIQUE INDEX vehicle_tracking_pkey ON public.vehicle_tracking USING btree (id)
vehicles,vehicles_company_id_vehicle_code_key,"CREATE UNIQUE INDEX vehicles_company_id_vehicle_code_key ON public.vehicles USING btree (company_id, vehicle_code)"
vehicles,vehicles_pkey,CREATE UNIQUE INDEX vehicles_pkey ON public.vehicles USING btree (id)
work_order_details,work_order_details_pkey,CREATE UNIQUE INDEX work_order_details_pkey ON public.work_order_details USING btree (id)
work_orders,work_orders_pkey,CREATE UNIQUE INDEX work_orders_pkey ON public.work_orders USING btree (id)
work_orders,idx_work_orders_customer,CREATE INDEX idx_work_orders_customer ON public.work_orders USING btree (customer_id)
work_orders,idx_work_orders_status,CREATE INDEX idx_work_orders_status ON public.work_orders USING btree (status)
work_orders,work_orders_order_code_key,CREATE UNIQUE INDEX work_orders_order_code_key ON public.work_orders USING btree (order_code)
workflow_log,workflow_log_pkey,CREATE UNIQUE INDEX workflow_log_pkey ON public.workflow_log USING btree (id)
workflow_rules,workflow_rules_pkey,CREATE UNIQUE INDEX workflow_rules_pkey ON public.workflow_rules USING btree (id)
workflows,workflows_pkey,CREATE UNIQUE INDEX workflows_pkey ON public.workflows USING btree (id)
workflows,workflows_workflow_code_key,CREATE UNIQUE INDEX workflows_workflow_code_key ON public.workflows USING btree (workflow_code)
